plant,storage_capacity
Blue_Mesa_1_Hydro_Existing,580250000
Blue_Mesa_2_Hydro_Existing,580250000
Crystal_Hydro_Existing,32000000
Estes_1_Hydro_Existing,1261439
Estes_2_Hydro_Existing,1261439
Estes_3_Hydro_Existing,1261439
Flatiron_1_Hydro_Existing,468722.5
Flatiron_2_Hydro_Existing,468722.5
Green_Mountain_1_Hydro_Existing,94500000
Green_Mountain_2_Hydro_Existing,94500000
Morrow_Point_1_Hydro_Existing,25977089
Morrow_Point_2_Hydro_Existing,25977089
Pole_Hill_Hydro_Existing,271365600
Tesla_Hydro_Existing,441188659.4
