plant,lat,lon
Highland_Park_Wind_Planned,39.7353,-105.649
BHE_Wind_Conceptual,39.8019,-105.5142
Small_CO_Wind_Existing,39,-105.5
Peak_View_Wind_Existing,37.6622,-104.494
Busch_Ranch_2_Wind_Existing,37.801111,-104.491944
Busch_Ranch_1_Wind_Existing,37.801111,-104.491944
Golden_West_Power_Wind_Existing,38.935,-104.212
Cedar_Creek_II_Wind_Existing,40.8944,-104.0206
Cedar_Creek_I-2_Wind_Existing,40.8944,-104.0206
Cedar_Creek_I-1_Wind_Existing,40.8944,-104.0206
Mountain_Breeze_Wind_Existing,40.96062,-104.00317
Panorama_Wind_Existing,40.95206,-103.90756
Rush_Creek_Wind_Existing,39.17211,-103.84536
Limon_II_Wind_Existing,39.3749,-103.5202
Limon_III_Wind_Existing,39.3586,-103.369
Limon_I_Wind_Existing,39.3586,-103.369
Peetz_Table_Wind_Existing,40.941,-103.259
Logan_Wind_Existing,40.941,-103.259
Ridge_Crest_Wind_Existing,40.94591,-103.16203
Spring_Canyon_Exp_Wind_Existing,40.964167,-103.077222
Spring_Canyon_Exp_SCIII_Wind_Existing,40.964167,-103.077222
Bronco_Plains_II_Wind_Planned,39.0888,-103.0251
Bronco_Plains_Wind_Existing,39.0888,-103.0251
Spring_Canyon_Wind_Existing,40.9735,-103.025
Niyol_Wind_Existing,40.633,-102.9265
N_CO_GE_Wind_Existing,40.9881,-102.8969
Twin_Buttes_I_Wind_Existing,37.6717,-102.876
N_CO_SIEM_Wind_Existing,40.9833,-102.8741
Crossing_Trails_Wind_Existing,39.060833,-102.829861
CO_Highlands_2_Wind_Existing,40.7438,-102.805
CO_Highlands_1_Wind_Existing,40.7457,-102.752
CO_Green_Holding_Wind_Existing,38.07,-102.62
Twin_Buttes_II_Wind_Existing,37.7599,-102.565
Kit_Carson_Wind_Existing,39.354,-102.305
Carousel_Wind_Existing,39.3384,-102.1501
Cheyenne_Ridge_Wind_Existing,39.01694,-102.2113
Cedar_Point_Wind_Existing,39.42179,-103.67814
